Date & Time,BB,Bowie
2023-11-12 20:00:00,64.0,
2023-11-13 20:00:00,64.0,
2023-11-14 14:00:00,67.0,
2023-11-15 08:00:00,66.0,
2023-11-15 20:00:00,68.0,
2023-11-16 08:00:00,68.0,
2023-11-16 20:00:00,68.0,
2023-11-19 08:00:00,67.0,
2023-11-19 20:00:00,71.0,
2023-11-20 20:00:00,71.0,
2023-11-22 08:00:00,68.0,
2023-11-22 20:00:00,72.0,
2023-11-23 20:00:00,73.0,
2023-11-24 20:00:00,71.0,
2023-11-25 20:00:00,72.0,
2023-11-27 16:00:00,68.0,
2023-11-28 08:00:00,68.0,
2023-11-28 20:00:00,71.0,
2023-11-29 20:00:00,70.0,
2023-11-30 12:00:00,70.0,
2023-11-30 20:00:00,74.0,
2023-12-01 08:00:00,69.0,
2023-12-01 20:00:00,71.0,
2023-12-02 08:00:00,68.0,
2023-12-03 08:00:00,68.0,
2023-12-03 15:00:00,,62.0
2023-12-04 08:00:00,68.0,59.0
2023-12-04 20:00:00,72.0,60.0
2023-12-05 08:00:00,71.0,56.0
2023-12-05 20:00:00,,60.0
2023-12-07 08:00:00,68.0,55.0
2023-12-07 14:00:00,,64.0
2023-12-07 20:00:00,75.0,66.0
2023-12-08 08:00:00,69.0,61.0
2023-12-09 08:00:00,68.0,61.0
2023-12-10 08:00:00,68.0,61.0
2023-12-11 08:00:00,70.0,60.0
2023-12-11 20:00:00,74.0,64.0
2023-12-12 08:00:00,69.0,60.0
2023-12-12 20:00:00,74.0,65.0
2023-12-13 08:00:00,68.0,60.0
2023-12-13 20:00:00,73.0,61.0
2023-12-14 08:00:00,74.0,65.0
2023-12-14 20:00:00,69.0,59.0
2023-12-15 08:00:00,70.0,59.0
2023-12-16 08:00:00,71.0,61.0
2023-12-16 21:08:00,74.0,65.0
2023-12-17 08:00:00,70.0,61.0
2023-12-17 21:00:00,75.0,63.0
2023-12-18 08:00:00,70.0,60.0
2023-12-18 21:00:00,76.0,64.0
2023-12-19 08:00:00,70.0,60.0
2023-12-19 21:00:00,75.0,66.0
2023-12-20 08:00:00,72.0,64.0
2023-12-21 08:00:00,70.0,63.0
2023-12-21 21:00:00,75.0,67.0
2023-12-22 08:00:00,71.0,63.0
2023-12-23 08:00:00,71.0,64.0
2023-12-23 21:00:00,72.0,67.0
2023-12-24 08:00:00,68.0,64.0
2023-12-24 21:00:00,71.0,66.0
2023-12-25 08:00:00,71.0,64.0
2023-12-26 08:00:00,70.0,61.0
2023-12-26 21:00:00,75.0,69.0
2023-12-27 08:00:00,71.0,66.0
2023-12-27 21:00:00,71.0,69.0
2023-12-28 08:00:00,70.0,63.0
2023-12-29 08:00:00,71.0,68.0
2023-12-29 21:00:00,73.0,69.0
2023-12-30 08:00:00,71.0,64.0
2023-12-30 21:00:00,70.0,68.0
2023-12-31 08:00:00,71.0,63.0
2024-01-01 08:00:00,71.0,66.0
2024-01-02 08:00:00,68.0,65.0
2024-01-02 21:00:00,73.0,66.0
2024-01-03 08:00:00,69.0,65.0
2024-01-03 21:00:00,72.0,68.0
2024-01-04 08:00:00,68.0,65.0
2024-01-05 08:00:00,69.0,65.0
2024-01-05 21:00:00,70.0,67.0
2024-01-06 08:00:00,69.0,65.0
2024-01-07 08:00:00,70.0,65.0
2024-01-07 21:00:00,71.0,66.0
2024-01-08 08:00:00,70.0,65.0
2024-01-08 21:00:00,72.0,67.0
2024-01-09 08:00:00,69.0,65.0
2024-01-09 21:00:00,74.0,68.0
2024-01-10 08:00:00,69.0,66.0
2024-01-10 21:00:00,73.0,68.0
2024-01-11 08:00:00,67.0,65.0
2024-01-11 21:00:00,72.0,67.0
2024-01-12 08:00:00,67.0,65.0
2024-01-12 21:00:00,71.0,66.0
2024-01-13 08:00:00,67.0,64.0
2024-01-13 21:00:00,71.0,68.0
2024-01-14 08:00:00,67.0,63.0
2024-01-14 21:00:00,71.0,66.0
2024-01-15 08:00:00,67.0,64.0
2024-01-16 08:00:00,68.0,63.0
2024-01-16 21:00:00,73.0,66.0
2024-01-17 08:00:00,68.0,63.0
2024-01-17 21:00:00,72.0,66.0
2024-01-18 08:00:00,71.0,63.0
2024-01-18 21:00:00,69.0,65.0
2024-01-19 08:00:00,69.0,63.0
2024-01-19 21:00:00,71.0,66.0
2024-01-20 08:00:00,69.0,62.0
2024-01-20 21:00:00,71.0,69.0
2024-01-21 08:00:00,68.0,66.0
2024-01-21 21:00:00,75.0,68.0
2024-01-22 08:00:00,69.0,66.0
2024-01-22 21:00:00,73.0,69.0
2024-01-23 08:00:00,70.0,65.0
2024-01-23 21:00:00,75.0,69.0
2024-01-24 08:00:00,70.0,65.0
2024-01-24 21:00:00,71.0,68.0
2024-01-25 08:00:00,69.0,65.0
2024-01-25 21:00:00,71.0,67.0
2024-01-26 08:00:00,71.0,63.0
2024-01-27 08:00:00,69.0,66.0
2024-01-27 21:00:00,75.0,67.0
2024-01-28 08:00:00,69.0,64.0
2024-01-28 21:00:00,74.0,69.0
2024-01-29 08:00:00,70.0,64.0
2024-01-29 21:00:00,74.0,69.0
2024-01-30 08:00:00,71.0,66.0
2024-01-30 21:00:00,74.0,68.0
2024-01-31 08:00:00,71.0,65.0
2024-01-31 21:00:00,74.0,70.0
2024-02-01 08:00:00,70.0,65.0
2024-02-01 21:00:00,71.0,67.0
2024-02-02 08:00:00,70.0,66.0
